"operation_id","user_id","gender","type","is_su_member","category_name"
143,631,"m","fit",False,"Pivo"
144,195,"m","fit",True,"Nealko"
146,633,"m","fit",False,"Pivo"
148,632,"m","fit",False,"Pivo"
150,245,"m","fit",True,"Cider"
152,190,"m","fit",True,"Pivo"
154,194,"m","fit",False,"Nealko"
155,422,"f","fit",True,"Pivo"
157,308,"m","fit",False,"Pivo"
159,191,"m","fit",True,"Pivo"
159,191,"m","fit",True,"Nealko"
161,635,"f","fit",True,"Cider"
163,633,"m","fit",False,"Pivo"
165,632,"m","fit",False,"Pivo"
167,604,"m","vut",True,"Pivo"
169,617,"m","fit",True,"Pivo"
171,636,"f","fit",False,"Pivo"
173,637,"m","unk",False,"Nealko"
175,622,"m","fit",True,"Nealko"
177,30,"m","fit",True,"Cider"
179,640,"m","fit",True,"Pivo"
181,639,"m","fit",False,"Pivo"
183,641,"m","fit",False,"Pivo"
185,638,"m","fit",False,"Pivo"
186,38,"m","fit",True,"Pivo"
188,623,"m","fit",False,"Pivo"
190,633,"m","fit",False,"Pivo"
192,645,"m","fit",False,"Pivo"
194,293,"m","fit",False,"Nealko"
196,245,"m","fit",True,"Cider"
198,647,"m","fit",False,"Pivo"
200,648,"m","fit",False,"Pivo"
202,150,"m","fit",False,"Pivo"
204,94,"m","fit",True,"Pivo"
206,624,"m","fit",False,"Nealko"
208,308,"m","fit",False,"Pivo"
210,632,"m","fit",False,"Pivo"
212,649,"m","fit",False,"Pivo"
214,650,"m","fit",False,"Pivo"
216,26,"m","fit",True,"Pivo"
218,9,"m","fit",False,"Pivo"
220,38,"m","fit",True,"Nealko"
220,38,"m","fit",True,"Nealko"
222,9,"m","fit",False,"Cider"
224,635,"f","fit",True,"Cider"
225,38,"m","fit",True,"Pivo"
227,485,"m","muni",False,"Pivo"
228,38,"m","fit",True,"Nealko"
230,194,"m","fit",False,"Nealko"
232,228,"m","fit",True,"Pivo"
234,617,"m","fit",True,"Pivo"
236,649,"m","fit",False,"Pivo"
238,633,"m","fit",False,"Pivo"
240,651,"m","unk",False,"Pivo"
242,308,"m","fit",False,"Pivo"
244,652,"m","fit",False,"Pivo"
246,423,"m","fit",False,"Nealko"
248,647,"m","fit",False,"Pivo"
250,641,"m","fit",False,"Pivo"
252,618,"m","fit",False,"Pivo"
254,422,"f","fit",True,"Cider"
256,645,"m","fit",False,"Pivo"
258,648,"m","fit",False,"Pivo"
260,428,"m","fit",True,"Nealko"
262,654,"m","fit",False,"Pivo"
